Temperature (K),Pressure (bar)
3.618999999999999773e+02,1.541000000000000101e-07
3.441999999999999886e+02,1.655000000000000195e-07
3.240000000000000000e+02,1.784000000000000093e-07
3.028999999999999773e+02,1.934000000000000245e-07
2.893000000000000114e+02,2.107000000000000007e-07
2.765000000000000000e+02,2.303999999999999985e-07
2.681000000000000227e+02,2.529000000000000477e-07
2.581999999999999886e+02,2.784000000000000048e-07
2.410999999999999943e+02,3.084000000000000352e-07
2.305000000000000000e+02,3.436999999999999873e-07
2.305999999999999943e+02,3.834000000000000053e-07
2.085999999999999943e+02,4.312000000000000495e-07
2.045000000000000000e+02,4.879000000000000212e-07
2.001999999999999886e+02,5.536999999999999884e-07
1.975000000000000000e+02,6.296000000000000791e-07
1.930999999999999943e+02,7.179000000000000426e-07
1.924000000000000057e+02,8.199999999999999841e-07
1.953000000000000114e+02,9.355000000000000853e-07
1.965000000000000000e+02,1.066000000000000043e-06
1.943000000000000114e+02,1.215000000000000014e-06
2.000999999999999943e+02,1.382999999999999930e-06
2.043000000000000114e+02,1.569000000000000140e-06
2.071999999999999886e+02,1.775000000000000158e-06
1.970999999999999943e+02,2.011000000000000312e-06
1.694000000000000057e+02,2.317000000000000008e-06
1.719000000000000057e+02,2.685000000000000127e-06
1.600999999999999943e+02,3.130000000000000102e-06
1.526999999999999886e+02,3.684000000000000219e-06
1.541999999999999886e+02,4.342999999999999754e-06
1.534000000000000057e+02,5.122000000000000257e-06
1.603000000000000114e+02,6.010000000000000056e-06
1.608000000000000114e+02,7.021999999999999854e-06
1.525000000000000000e+02,8.247000000000000831e-06
1.496999999999999886e+02,9.738999999999999421e-06
1.516999999999999886e+02,1.150000000000000001e-05
1.550000000000000000e+02,1.353000000000000090e-05
1.608000000000000114e+02,1.582999999999999921e-05
1.610000000000000000e+02,1.845999999999999944e-05
1.568000000000000114e+02,2.158000000000000006e-05
1.555999999999999943e+02,2.528000000000000191e-05
1.568000000000000114e+02,2.957999999999999800e-05
1.551999999999999886e+02,3.465000000000000198e-05
1.585999999999999943e+02,4.050000000000000187e-05
1.606999999999999886e+02,4.716000000000000248e-05
1.565999999999999943e+02,5.504000000000000158e-05
1.600999999999999943e+02,6.413000000000001111e-05
1.579000000000000057e+02,7.472000000000000289e-05
1.595000000000000000e+02,8.697999999999999731e-05
1.585999999999999943e+02,1.012000000000000069e-04
1.575000000000000000e+02,1.178000000000000038e-04
1.586999999999999886e+02,1.370000000000000232e-04
1.585000000000000000e+02,1.592999999999999961e-04
1.615000000000000000e+02,1.845999999999999876e-04
1.575000000000000000e+02,2.142000000000000024e-04
1.590000000000000000e+02,2.484000000000000205e-04
1.574000000000000057e+02,2.881000000000000097e-04
1.585999999999999943e+02,3.340000000000000412e-04
1.623000000000000114e+02,3.857999999999999993e-04
1.650999999999999943e+02,4.442000000000000093e-04
1.696999999999999886e+02,5.090000000000000123e-04
1.683000000000000114e+02,5.823000000000000051e-04
1.688000000000000114e+02,6.656000000000000241e-04
1.686999999999999886e+02,7.598999999999999852e-04
1.680000000000000000e+02,8.667000000000000875e-04
1.654000000000000057e+02,9.887999999999999654e-04
1.645999999999999943e+02,1.127999999999999879e-03
1.628000000000000114e+02,1.284999999999999901e-03
1.575000000000000000e+02,1.467000000000000205e-03
1.573000000000000114e+02,1.675000000000000057e-03
1.561999999999999886e+02,1.909000000000000107e-03
1.555999999999999943e+02,2.170999999999999753e-03
1.533000000000000114e+02,2.466000000000000310e-03
1.503000000000000114e+02,2.798999999999999839e-03
1.498000000000000114e+02,3.170000000000000075e-03
1.500999999999999943e+02,3.578000000000000017e-03
1.501999999999999886e+02,4.022999999999999667e-03
1.521999999999999886e+02,4.500000000000000527e-03
1.531999999999999886e+02,5.007000000000000166e-03
1.525000000000000000e+02,5.546999999999999847e-03
1.536999999999999886e+02,6.120000000000000440e-03
1.561999999999999886e+02,6.711000000000000819e-03
1.585000000000000000e+02,7.318999999999999985e-03
1.595999999999999943e+02,7.943000000000000407e-03
1.605999999999999943e+02,8.580000000000000820e-03
1.600999999999999943e+02,9.231999999999998888e-03
1.596999999999999886e+02,9.898000000000000548e-03
1.584000000000000057e+02,1.058000000000000086e-02
1.578000000000000114e+02,1.127000000000000050e-02
1.565000000000000000e+02,1.197000000000000147e-02
1.545999999999999943e+02,1.267000000000000071e-02
1.534000000000000057e+02,1.339000000000000086e-02
1.515000000000000000e+02,1.410999999999999928e-02
1.484000000000000057e+02,1.484000000000000076e-02
1.473000000000000114e+02,1.558000000000000010e-02
1.440000000000000000e+02,1.632000000000000117e-02
1.420999999999999943e+02,1.707000000000000184e-02
1.400000000000000000e+02,1.781999999999999904e-02
1.393000000000000114e+02,1.856999999999999970e-02
1.361999999999999886e+02,1.932000000000000037e-02
1.333000000000000114e+02,2.007999999999999716e-02
1.321999999999999886e+02,2.084000000000000088e-02
1.333000000000000114e+02,2.157999999999999849e-02
1.325000000000000000e+02,2.231999999999999956e-02
1.329000000000000057e+02,2.305000000000000104e-02
1.321999999999999886e+02,2.376999999999999946e-02
1.330999999999999943e+02,2.448999999999999788e-02
1.345000000000000000e+02,2.518000000000000099e-02
1.338000000000000114e+02,2.587000000000000063e-02
1.348000000000000114e+02,2.655000000000000068e-02
1.340000000000000000e+02,2.723000000000000073e-02
1.316999999999999886e+02,2.791000000000000078e-02
1.315000000000000000e+02,2.857999999999999777e-02
1.300999999999999943e+02,2.926000000000000129e-02
1.288000000000000114e+02,2.994000000000000133e-02
1.285999999999999943e+02,3.062000000000000138e-02
1.264000000000000057e+02,3.130000000000000143e-02
1.257000000000000028e+02,3.198999999999999760e-02
1.259000000000000057e+02,3.268000000000000071e-02
1.265999999999999943e+02,3.336000000000000076e-02
1.260000000000000000e+02,3.404000000000000081e-02
1.264000000000000057e+02,3.472000000000000086e-02
1.265999999999999943e+02,3.540000000000000091e-02
1.275000000000000000e+02,3.608000000000000096e-02
1.290000000000000000e+02,3.674999999999999795e-02
1.279000000000000057e+02,3.742000000000000187e-02
1.277999999999999972e+02,3.810000000000000192e-02
1.262000000000000028e+02,3.878000000000000197e-02
1.262999999999999972e+02,3.946999999999999814e-02
1.250999999999999943e+02,4.015999999999999431e-02
1.249000000000000057e+02,4.086999999999999661e-02
1.242999999999999972e+02,4.157000000000000278e-02
1.237999999999999972e+02,4.229000000000000120e-02
1.225999999999999943e+02,4.300999999999999962e-02
1.225999999999999943e+02,4.374000000000000110e-02
1.217999999999999972e+02,4.447000000000000258e-02
1.202000000000000028e+02,4.522000000000000325e-02
1.192999999999999972e+02,4.599000000000000310e-02
1.185000000000000000e+02,4.675999999999999601e-02
1.185000000000000000e+02,4.753999999999999893e-02
1.175999999999999943e+02,4.832999999999999796e-02
1.157000000000000028e+02,4.914000000000000312e-02
1.150999999999999943e+02,4.996000000000000441e-02
1.147000000000000028e+02,5.079999999999999793e-02
1.145999999999999943e+02,5.163999999999999840e-02
1.134000000000000057e+02,5.249999999999999806e-02
1.107999999999999972e+02,5.338000000000000383e-02
1.110999999999999943e+02,5.428000000000000186e-02
1.102999999999999972e+02,5.518999999999999601e-02
1.114000000000000057e+02,5.611999999999999628e-02
1.114000000000000057e+02,5.704999999999999655e-02
1.135000000000000000e+02,5.797999999999999682e-02
1.125000000000000000e+02,5.892000000000000015e-02
1.104000000000000057e+02,5.988000000000000267e-02
1.087999999999999972e+02,6.088000000000000356e-02
1.139000000000000057e+02,6.187000000000000138e-02
1.140999999999999943e+02,6.285999999999999921e-02
1.137000000000000028e+02,6.386000000000000010e-02
1.152000000000000028e+02,6.487999999999999323e-02
1.139000000000000057e+02,6.590999999999999637e-02
1.137999999999999972e+02,6.697000000000000175e-02
1.140999999999999943e+02,6.804000000000000326e-02
1.119000000000000057e+02,6.914000000000000701e-02
1.137999999999999972e+02,7.026999999999999913e-02
1.112000000000000028e+02,7.141999999999999738e-02
1.132999999999999972e+02,7.259000000000000175e-02
1.140000000000000000e+02,7.377000000000000224e-02
1.145000000000000000e+02,7.496999999999999498e-02
1.130000000000000000e+02,7.620000000000000384e-02
1.144000000000000057e+02,7.745000000000000495e-02
1.137999999999999972e+02,7.871999999999999831e-02
1.142999999999999972e+02,8.001999999999999391e-02
1.145999999999999943e+02,8.134000000000000952e-02
1.125999999999999943e+02,8.270000000000000961e-02
1.127999999999999972e+02,8.409999999999999420e-02
1.154000000000000057e+02,8.551000000000000267e-02
1.190999999999999943e+02,8.690000000000000502e-02
1.129000000000000057e+02,8.836000000000000798e-02
1.132999999999999972e+02,8.988999999999999768e-02
1.170000000000000000e+02,9.142000000000000126e-02
1.112999999999999972e+02,9.301000000000000933e-02
1.152999999999999972e+02,9.465000000000001190e-02
1.150000000000000000e+02,9.631000000000000671e-02
1.110000000000000000e+02,9.804000000000000214e-02
1.125999999999999943e+02,9.983000000000000207e-02
1.135999999999999943e+02,1.015999999999999959e-01
1.190000000000000000e+02,1.035000000000000087e-01
1.139000000000000057e+02,1.053000000000000047e-01
1.119000000000000057e+02,1.072999999999999926e-01
1.125999999999999943e+02,1.092999999999999944e-01
1.117999999999999972e+02,1.112999999999999962e-01
1.105000000000000000e+02,1.135000000000000037e-01
1.134000000000000057e+02,1.155999999999999944e-01
1.145000000000000000e+02,1.178000000000000019e-01
1.147999999999999972e+02,1.199999999999999956e-01
1.145999999999999943e+02,1.223000000000000059e-01
1.147000000000000028e+02,1.246000000000000024e-01
1.115999999999999943e+02,1.270000000000000018e-01
1.122000000000000028e+02,1.294000000000000150e-01
1.120000000000000000e+02,1.319000000000000172e-01
1.130000000000000000e+02,1.345000000000000084e-01
1.134000000000000057e+02,1.370999999999999996e-01
1.140999999999999943e+02,1.396999999999999909e-01
1.145999999999999943e+02,1.423999999999999988e-01
1.087000000000000028e+02,1.451999999999999957e-01
1.160999999999999943e+02,1.479999999999999927e-01
1.107000000000000028e+02,1.508000000000000174e-01
1.170000000000000000e+02,1.537000000000000033e-01
1.112999999999999972e+02,1.566999999999999782e-01
1.080999999999999943e+02,1.598000000000000254e-01
1.115000000000000000e+02,1.630000000000000060e-01
1.095000000000000000e+02,1.661999999999999866e-01
1.097000000000000028e+02,1.694000000000000228e-01
1.095999999999999943e+02,1.728000000000000091e-01
1.087000000000000028e+02,1.761999999999999955e-01
1.070999999999999943e+02,1.796999999999999986e-01
1.105999999999999943e+02,1.832000000000000017e-01
1.079000000000000057e+02,1.868000000000000216e-01
1.127000000000000028e+02,1.904000000000000137e-01
1.119000000000000057e+02,1.940000000000000058e-01
1.090000000000000000e+02,1.976999999999999869e-01
1.117000000000000028e+02,2.014000000000000234e-01
1.102999999999999972e+02,2.051999999999999935e-01
1.135000000000000000e+02,2.089999999999999913e-01
1.092000000000000028e+02,2.129000000000000059e-01
1.137000000000000028e+02,2.169000000000000095e-01
1.157999999999999972e+02,2.208000000000000240e-01
1.092999999999999972e+02,2.248000000000000276e-01
1.142999999999999972e+02,2.289000000000000201e-01
1.125000000000000000e+02,2.330000000000000127e-01
1.099000000000000057e+02,2.371999999999999942e-01
1.104000000000000057e+02,2.414999999999999925e-01
1.102999999999999972e+02,2.459000000000000075e-01
1.095000000000000000e+02,2.503000000000000225e-01
1.140999999999999943e+02,2.546999999999999820e-01
1.117999999999999972e+02,2.591999999999999860e-01
1.090000000000000000e+02,2.638000000000000345e-01
1.125000000000000000e+02,2.683999999999999719e-01
1.137999999999999972e+02,2.728999999999999759e-01
1.127000000000000028e+02,2.776000000000000134e-01
1.132000000000000028e+02,2.822000000000000064e-01
1.167000000000000028e+02,2.868999999999999884e-01
1.172000000000000028e+02,2.914999999999999813e-01
1.162999999999999972e+02,2.962000000000000188e-01
1.177999999999999972e+02,3.009000000000000008e-01
1.204000000000000057e+02,3.056000000000000383e-01
1.202000000000000028e+02,3.103000000000000203e-01
1.197000000000000028e+02,3.151000000000000467e-01
1.199000000000000057e+02,3.198999999999999622e-01
1.202000000000000028e+02,3.246999999999999886e-01
1.202999999999999972e+02,3.296000000000000041e-01
1.205999999999999943e+02,3.346000000000000085e-01
1.212999999999999972e+02,3.396000000000000130e-01
1.219000000000000057e+02,3.445000000000000284e-01
1.227000000000000028e+02,3.495000000000000329e-01
1.296599999999999966e+02,4.354000000000000092e-01
1.297400100000000123e+02,4.377199999999999980e-01
1.298500099999999975e+02,4.400299999999999767e-01
1.299699999999999989e+02,4.423400000000000110e-01
1.301100000000000136e+02,4.446999999999999842e-01
1.307800000000000011e+02,4.540000000000000147e-01
1.315600000000000023e+02,4.637999999999999901e-01
1.324600100000000111e+02,4.736500000000000155e-01
1.331299999999999955e+02,4.848999999999999977e-01
1.338100000000000023e+02,4.968000000000000194e-01
1.346999999999999886e+02,5.048000000000000265e-01
1.354900100000000123e+02,5.127000000000000446e-01
1.363000000000000114e+02,5.245999999999999552e-01
1.371699999999999875e+02,5.364999999999999769e-01
1.379600100000000111e+02,5.444999999999999840e-01
1.394199999999999875e+02,5.684000000000000163e-01
1.402100100000000111e+02,5.803000000000000380e-01
1.410000000000000000e+02,5.921999999999999487e-01
1.418999900000000025e+02,6.040999999999999703e-01
1.425800000000000125e+02,6.199999999999999956e-01
1.434799999999999898e+02,6.319000000000000172e-01
1.441599999999999966e+02,6.438000000000000389e-01
1.449499999999999886e+02,6.556999999999999496e-01
1.460000000000000000e+02,6.706600000000000339e-01
1.470000000000000000e+02,6.849600000000000133e-01
1.480000000000000000e+02,6.994700000000000362e-01
1.490000000000000000e+02,7.141899999999999915e-01
1.500000000000000000e+02,7.291100000000000358e-01
1.510000000000000000e+02,7.442499999999999671e-01
1.520000000000000000e+02,7.596000000000000529e-01
1.530000000000000000e+02,7.751700000000000257e-01
1.540000000000000000e+02,7.909599999999999964e-01
1.550000000000000000e+02,8.069600000000000106e-01
1.560000000000000000e+02,8.231899999999999773e-01
1.570000000000000000e+02,8.396400000000000530e-01
1.580000000000000000e+02,8.563199999999999701e-01
1.590000000000000000e+02,8.732299999999999507e-01
1.600000000000000000e+02,8.903699999999999948e-01
1.610000000000000000e+02,9.077300000000000368e-01
1.620000000000000000e+02,9.253400000000000514e-01
1.630000000000000000e+02,9.431800000000000184e-01
1.640000000000000000e+02,9.612600000000000033e-01
1.650000000000000000e+02,9.795800000000000063e-01
1.660000000000000000e+02,9.981400000000000272e-01
1.661000099999999975e+02,1.000000000000000000e+00
1.670000000000000000e+02,1.016999999999999904e+00
1.680000000000000000e+02,1.036000000000000032e+00
1.690000000000000000e+02,1.055299999999999905e+00
1.700000000000000000e+02,1.074899999999999967e+00
1.710000000000000000e+02,1.094700000000000006e+00
1.720000000000000000e+02,1.114800000000000013e+00
1.730000000000000000e+02,1.135099999999999998e+00
1.740000000000000000e+02,1.155699999999999950e+00
1.750000000000000000e+02,1.176600000000000090e+00
1.760000000000000000e+02,1.197699999999999987e+00
1.770000000000000000e+02,1.219100000000000072e+00
1.780000000000000000e+02,1.240799999999999903e+00
1.790000000000000000e+02,1.262699999999999934e+00
1.800000000000000000e+02,1.284999999999999920e+00
1.810000000000000000e+02,1.307500000000000107e+00
1.820000000000000000e+02,1.330200000000000049e+00
1.830000000000000000e+02,1.353299999999999947e+00
1.840000000000000000e+02,1.376700000000000035e+00
1.850000000000000000e+02,1.400300000000000100e+00
1.860000000000000000e+02,1.424199999999999910e+00
1.870000000000000000e+02,1.448499999999999899e+00
1.880000000000000000e+02,1.473000000000000087e+00
1.890000000000000000e+02,1.497800000000000020e+00
1.900000000000000000e+02,1.522899999999999920e+00
1.910000000000000000e+02,1.548300000000000010e+00
1.920000000000000000e+02,1.574100000000000055e+00
1.930000000000000000e+02,1.600100000000000078e+00
1.940000000000000000e+02,1.626500000000000057e+00
1.950000000000000000e+02,1.653100000000000014e+00
1.960000000000000000e+02,1.680099999999999927e+00
1.970000000000000000e+02,1.707400000000000029e+00
1.980000000000000000e+02,1.735000000000000098e+00
1.990000000000000000e+02,1.762899999999999912e+00
2.000000000000000000e+02,1.791199999999999903e+00
2.010000000000000000e+02,1.819800000000000084e+00
2.020000000000000000e+02,1.848700000000000010e+00
2.030000000000000000e+02,1.877999999999999892e+00
2.040000000000000000e+02,1.907499999999999973e+00
2.050000000000000000e+02,1.937500000000000000e+00
2.060000000000000000e+02,1.967700000000000005e+00
2.070000000000000000e+02,1.998299999999999965e+00
2.080000000000000000e+02,2.029300000000000104e+00
2.090000000000000000e+02,2.060599999999999987e+00
2.100000000000000000e+02,2.092299999999999827e+00
2.110000000000000000e+02,2.124299999999999855e+00
2.120000000000000000e+02,2.156699999999999839e+00
2.130000000000000000e+02,2.189400000000000013e+00
2.140000000000000000e+02,2.222500000000000142e+00
2.150000000000000000e+02,2.255900000000000016e+00
2.160000000000000000e+02,2.289699999999999847e+00
2.170000000000000000e+02,2.323900000000000077e+00
2.180000000000000000e+02,2.358499999999999819e+00
2.190000000000000000e+02,2.393400000000000194e+00
2.200000000000000000e+02,2.428700000000000081e+00
2.210000000000000000e+02,2.464399999999999924e+00
2.220000000000000000e+02,2.500500000000000167e+00
2.230000000000000000e+02,2.536900000000000155e+00
2.240000000000000000e+02,2.573700000000000099e+00
2.250000000000000000e+02,2.611000000000000210e+00
2.260000000000000000e+02,2.648600000000000065e+00
2.270000000000000000e+02,2.686599999999999877e+00
2.280000000000000000e+02,2.725000000000000089e+00
2.290000000000000000e+02,2.763900000000000023e+00
2.300000000000000000e+02,2.803100000000000147e+00
2.310000000000000000e+02,2.842699999999999783e+00
2.320000000000000000e+02,2.882800000000000029e+00
2.330000000000000000e+02,2.923200000000000021e+00
2.340000000000000000e+02,2.964100000000000179e+00
2.350000000000000000e+02,3.005300000000000082e+00
2.360000000000000000e+02,3.047000000000000153e+00
2.370000000000000000e+02,3.089100000000000179e+00
2.380000000000000000e+02,3.131699999999999928e+00
2.390000000000000000e+02,3.174599999999999866e+00
2.400000000000000000e+02,3.217999999999999972e+00
2.410000000000000000e+02,3.261899999999999800e+00
2.420000000000000000e+02,3.306099999999999817e+00
2.430000000000000000e+02,3.350800000000000001e+00
2.440000000000000000e+02,3.395900000000000141e+00
2.450000000000000000e+02,3.441500000000000004e+00
2.460000000000000000e+02,3.487499999999999822e+00
2.470000000000000000e+02,3.533999999999999808e+00
2.480000000000000000e+02,3.580900000000000194e+00
2.490000000000000000e+02,3.628299999999999859e+00
2.500000000000000000e+02,3.676099999999999923e+00
2.510000000000000000e+02,3.724400000000000155e+00
2.520000000000000000e+02,3.773099999999999898e+00
2.530000000000000000e+02,3.822400000000000020e+00
2.540000000000000000e+02,3.871999999999999886e+00
2.550000000000000000e+02,3.922200000000000131e+00
2.560000000000000000e+02,3.972799999999999887e+00
2.570000000000000000e+02,4.023900000000000254e+00
2.580000000000000000e+02,4.075400000000000134e+00
2.590000000000000000e+02,4.127500000000000391e+00
2.600000000000000000e+02,4.179999999999999716e+00
2.610000000000000000e+02,4.232999999999999652e+00
2.620000000000000000e+02,4.286500000000000199e+00
2.630000000000000000e+02,4.340499999999999581e+00
2.640000000000000000e+02,4.394999999999999574e+00
2.650000000000000000e+02,4.449900000000000411e+00
2.660000000000000000e+02,4.505399999999999849e+00
2.670000000000000000e+02,4.561399999999999899e+00
2.680000000000000000e+02,4.617899999999999672e+00
2.690000000000000000e+02,4.674900000000000055e+00
2.700000000000000000e+02,4.732400000000000162e+00
2.710000000000000000e+02,4.790399999999999991e+00
2.720000000000000000e+02,4.848900000000000432e+00
2.730000000000000000e+02,4.908000000000000362e+00
2.740000000000000000e+02,4.967500000000000249e+00
2.750000000000000000e+02,5.027599999999999625e+00
2.760000000000000000e+02,5.088199999999999612e+00
2.770000000000000000e+02,5.149399999999999977e+00
2.780000000000000000e+02,5.211000000000000298e+00
2.790000000000000000e+02,5.273200000000000109e+00
2.800000000000000000e+02,5.336000000000000298e+00
2.810000000000000000e+02,5.399300000000000210e+00
2.820000000000000000e+02,5.463099999999999845e+00
2.830000000000000000e+02,5.527499999999999858e+00
2.840000000000000000e+02,5.592399999999999594e+00
2.850000000000000000e+02,5.657799999999999940e+00
2.860000000000000000e+02,5.723799999999999777e+00
2.870000000000000000e+02,5.790399999999999991e+00
2.880000000000000000e+02,5.857499999999999929e+00
2.890000000000000000e+02,5.925200000000000244e+00
2.900000000000000000e+02,5.993400000000000283e+00
2.910000000000000000e+02,6.062199999999999811e+00
2.920000000000000000e+02,6.131599999999999717e+00
2.930000000000000000e+02,6.201600000000000001e+00
2.940000000000000000e+02,6.272100000000000009e+00
2.950000000000000000e+02,6.343200000000000394e+00
2.960000000000000000e+02,6.414900000000000269e+00
2.970000000000000000e+02,6.487099999999999866e+00
2.980000000000000000e+02,6.559999999999999609e+00
2.990000000000000000e+02,6.633399999999999963e+00
3.000000000000000000e+02,6.707399999999999807e+00
3.010000000000000000e+02,6.782000000000000028e+00
3.020000000000000000e+02,6.857300000000000395e+00
3.030000000000000000e+02,6.933099999999999596e+00
3.040000000000000000e+02,7.009500000000000064e+00
3.050000000000000000e+02,7.086500000000000021e+00
3.060000000000000000e+02,7.164100000000000357e+00
3.070000000000000000e+02,7.242300000000000182e+00
3.080000000000000000e+02,7.321200000000000152e+00
3.090000000000000000e+02,7.400599999999999845e+00
3.100000000000000000e+02,7.480699999999999683e+00
3.110000000000000000e+02,7.561399999999999899e+00
3.120000000000000000e+02,7.642699999999999605e+00
3.130000000000000000e+02,7.724599999999999689e+00
3.140000000000000000e+02,7.807199999999999918e+00
3.150000000000000000e+02,7.890399999999999636e+00
3.160000000000000000e+02,7.974199999999999733e+00
